date,close,open,high,low
-262051200,67.959999,67.959999,67.959999,67.959999
-261964800,68.010002,68.010002,68.010002,68.010002
-261878400,67.529999,67.529999,67.529999,67.529999
-261792000,67.650002,67.650002,67.650002,67.650002
-261532800,67.209999,67.209999,67.209999,67.209999
-261446400,66.080002,66.080002,66.080002,66.080002
-261360000,66.959999,66.959999,66.959999,66.959999
-261273600,66.989998,66.989998,66.989998,66.989998
-261187200,66.720001,66.720001,66.720001,66.720001
-260928000,65.769997,65.769997,65.769997,65.769997
-260841600,65.779999,65.779999,65.779999,65.779999
-260755200,66.470001,66.470001,66.470001,66.470001
-260668800,66.580002,66.580002,66.580002,66.580002
-260582400,66.730003,66.730003,66.730003,66.730003
-260323200,66.769997,66.769997,66.769997,66.769997
-260236800,66.730003,66.730003,66.730003,66.730003
-260150400,67.18,67.18,67.18,67.18
-260064000,67.769997,67.769997,67.769997,67.769997
-259977600,66.970001,66.970001,66.970001,66.970001
-259718400,67.940002,67.940002,67.940002,67.940002
-259632000,68.110001,68.110001,68.110001,68.110001
-259545600,68.169998,68.169998,68.169998,68.169998
-259459200,68.160004,68.160004,68.160004,68.160004
-259372800,68.040001,68.040001,68.040001,68.040001
-259113600,67.849998,67.849998,67.849998,67.849998
-259027200,67.870003,67.870003,67.870003,67.870003
-258940800,68.209999,68.209999,68.209999,68.209999
-258854400,68.449997,68.449997,68.449997,68.449997
-258768000,68,68,68,68
-258508800,68.059998,68.059998,68.059998,68.059998
-258422400,67.980003,67.980003,67.980003,67.980003
-258336000,68.339996,68.339996,68.339996,68.339996
-258249600,68.459999,68.459999,68.459999,68.459999
-258163200,68.339996,68.339996,68.339996,68.339996
-257904000,68.419998,68.419998,68.419998,68.419998
-257817600,68.620003,68.620003,68.620003,68.620003
-257731200,68.730003,68.730003,68.730003,68.730003
-257644800,69.110001,69.110001,69.110001,69.110001
-257558400,69.470001,69.470001,69.470001,69.470001
-257299200,70.010002,70.010002,70.010002,70.010002
-257126400,70.870003,70.870003,70.870003,70.870003
-257040000,70.769997,70.769997,70.769997,70.769997
-256953600,71.07,71.07,71.07,71.07
-256694400,71.269997,71.269997,71.269997,71.269997
-256608000,71.660004,71.660004,71.660004,71.660004
-256521600,71.669998,71.669998,71.669998,71.669998
-256435200,71.620003,71.620003,71.620003,71.620003
-256348800,71.620003,71.620003,71.620003,71.620003
-256089600,71.720001,71.720001,71.720001,71.720001
-256003200,71.779999,71.779999,71.779999,71.779999
-255916800,71.699997,71.699997,71.699997,71.699997
-255744000,71.839996,71.839996,71.839996,71.839996
-255484800,71.849998,71.849998,71.849998,71.849998
-255398400,71.75,71.75,71.75,71.75
-255312000,71.699997,71.699997,71.699997,71.699997
-255225600,71.32,71.32,71.32,71.32
-255139200,71.779999,71.779999,71.779999,71.779999
-254880000,72.010002,72.010002,72.010002,72.010002
-254793600,71.93,71.93,71.93,71.93
-254707200,71.989998,71.989998,71.989998,71.989998
-254620800,71.699997,71.699997,71.699997,71.699997
-254534400,72.040001,72.040001,72.040001,72.040001
-254275200,72.389999,72.389999,72.389999,72.389999
-254188800,72.639999,72.639999,72.639999,72.639999
-254102400,72.529999,72.529999,72.529999,72.529999
-254016000,71.980003,71.980003,71.980003,71.980003
-253929600,72.010002,72.010002,72.010002,72.010002
-253670400,71.760002,71.760002,71.760002,71.760002
-253584000,71.260002,71.260002,71.260002,71.260002
-253497600,71.120003,71.120003,71.120003,71.120003
-253411200,70.860001,70.860001,70.860001,70.860001
-253324800,70.910004,70.910004,70.910004,70.910004
-252979200,71.019997,71.019997,71.019997,71.019997
-252892800,71.650002,71.650002,71.650002,71.650002
-252806400,71.690002,71.690002,71.690002,71.690002
-252720000,71.550003,71.550003,71.550003,71.550003
-252374400,70.959999,71.550003,71.959999,70.709999
-252288000,71.129997,70.959999,71.480003,70.379997
-252201600,70.639999,71.129997,71.620003,70.449997
-252115200,69.660004,70.639999,70.839996,69.349998
-251856000,69.120003,69.660004,69.839996,68.169998
-251769600,69.150002,69.120003,69.93,68.830002
-251683200,68.959999,69.150002,69.580002,68.620003
-251596800,69.370003,68.959999,69.540001,68.57
-251510400,69.610001,69.370003,70.169998,69.230003
-251251200,69.470001,69.610001,69.959999,69.059998
-251164800,69.07,69.470001,69.610001,68.68
-251078400,68.32,69.07,69.309998,68.129997
-250992000,68.389999,68.32,68.730003,67.75
-250905600,68.75,68.389999,70.080002,68.139999
-250646400,68.809998,68.75,69.370003,68.449997
-250560000,68.290001,68.809998,68.959999,68
-250473600,68.400002,68.290001,68.68,67.550003
-250387200,68.349998,68.400002,69.050003,68.099998
-250300800,68.129997,68.349998,68.669998,67.830002
-250041600,67.900002,68.129997,68.5,67.550003
-249955200,68.169998,67.900002,68.650002,67.620003
-249868800,68.839996,68.169998,69.089996,68.120003
-249782400,69.260002,68.839996,69.650002,68.559998
-249696000,69.809998,69.260002,70.019997,69.019997
-249436800,69.879997,69.809998,70.300003,69.419998
-249350400,69.959999,69.879997,70.32,69.410004
-249264000,70.419998,69.959999,70.669998,69.779999
-249177600,70.580002,70.419998,70.949997,70.160004
-249091200,70.480003,70.580002,70.830002,69.93
-248832000,70.459999,70.480003,70.809998,70.139999
-248745600,70.449997,70.459999,70.889999,70.07
-248659200,70.419998,70.449997,70.790001,70.029999
-248572800,70.739998,70.419998,71.059998,70.230003
-248486400,70.589996,70.739998,71.129997,70.269997
-248227200,70.410004,70.589996,70.959999,70.120003
-248140800,70.660004,70.410004,70.910004,70.129997
-248054400,70.32,70.660004,70.970001,70.120003
-247881600,70.160004,70.32,70.57,69.730003
-247622400,69.760002,70.160004,70.330002,69.440002
-247536000,69.889999,69.760002,70.32,69.480003
-247449600,69.959999,69.889999,70.419998,69.57
-247363200,70.199997,69.959999,70.599998,69.760002
-247276800,70.160004,70.160004,70.160004,69.75
-247017600,70.010002,70.160004,70.480003,69.650002
-246931200,69.779999,70.010002,70.239998,69.459999
-246844800,69.690002,69.779999,70.07,69.370003
-246758400,70.190002,69.690002,70.370003,69.400002
-246672000,70.419998,70.190002,70.709999,70
-246412800,70.400002,70.419998,70.760002,70.019997
-246326400,70.599998,70.400002,70.860001,70.059998
-246240000,70.910004,70.599998,71.25,70.480003
-246153600,71.059998,70.910004,71.440002,70.589996
-246067200,70.940002,71.059998,71.339996,70.669998
-245808000,70.849998,70.940002,71.309998,70.529999
-245721600,70.660004,70.849998,71.080002,70.400002
-245635200,70.510002,70.660004,70.93,70.160004
-245548800,70.400002,70.510002,70.839996,70.139999
-245462400,70.449997,70.400002,70.779999,70.120003
-245203200,69.889999,70.449997,70.629997,69.730003
-245116800,69.699997,69.889999,70.199997,69.410004
